フルアーマーZZガンダム
ライジングフリーダムガンダム
アストレイレッドフレーム改
アストレイレッドフレーム（レッドドラゴン）
アストレイブルーフレームD
アストレイゴールドフレーム天ミナ
ドレッドノートイータ
ケルディムガンダム
アリオスガンダム
アルケーガンダム
スサノオ
ラファエルガンダム
ブレイヴ指揮官用試験機
アヴァランチエクシア
ガンダムAGE-2
ガンダムAGE-3
ガンダムAGE-1 フルグランサ
ゼイドラ
フォーンファルシア
G-セルフ
ダハック
ガンダム・バルバトスルプス
ガンダム・グシオンリベイクフルシティ
アトラスガンダム
フルアーマー・ガンダム
サイコ・ザク
ガンダム・エアリアル(改修型)
ガンダム・エアリアル(改修型)パーメットスコア・エイト
ダリルバルデ
ウイングガンダムフェニーチェ
戦国アストレイ頑駄無
トライバーニングガンダム
ライトニングガンダムフルバーニアン
スターウイニングガンダム
トランジェントガンダム
RX-零丸
アースリィガンダム
騎士ガンダム
エクストリームガンダム エクリプス-F
エクストリームガンダム ゼノン-F
エクストリームガンダム アイオス-F
エクストリームガンダム エクセリア
N-EXTREMEガンダム ヴィシャス
ガンダム
ガンダム(Gメカ)
シャア専用ゲルググ
ギャン
ディジェ
ガンダムMk-II
メッサーラ
ガブスレイ
マラサイ
キュベレイMk-II(プル)
ザクIII改
ドーベン・ウルフ
アッガイ(ハマーン搭乗)
Zガンダム(ルー搭乗)
ヤクト・ドーガ
ヴィクトリーガンダム
ゲドラフ
デルタプラス
クシャトリヤ
ローゼン・ズール
ナラティブガンダム
シナンジュ・スタイン
高機動型ザクII後期型(ジョニー・ライデン機)
高機動型ザクII改(シン・マツナガ機)
ブルーディスティニー1号機
ペイルライダー(陸戦重装仕様)
高機動型ゲルググ(ヴィンセント機)
イフリート(シュナイド機)
ガンダム試作1号機フルバーニアン
ガーベラ・テトラ
シャイニングガンダム
ドラゴンガンダム
ガンダムマックスター
ノーベルガンダム
ウイングガンダム
ガンダムデスサイズヘル
ガンダムヘビーアームズ改
ガンダムサンドロック改
ガンダムX
ベルティゴ
コレンカプル
ストライクガンダム
イージスガンダム
ブリッツガンダム
カラミティガンダム
フォビドゥンガンダム
レイダーガンダム
インパルスガンダム(ルナマリア搭乗)
グフイグナイテッド
ストライクルージュ(オオトリ装備)
ガナーザクウォーリア
ガイアガンダム
インフィニットジャスティスガンダム(ラクス搭乗)
スターゲイザー
アストレイレッドフレーム
ドレッドノートガンダム(Xアストレイ)
アストレイブルーフレームセカンドL
アストレイゴールドフレーム天
ハイペリオンガンダム
ガンダムエクシア
ガンダムデュナメス
ガンダムキュリオス
ガンダムヴァーチェ
ガンダムスローネツヴァイ
ガンダムスローネドライ
ガラッゾ(ヒリング・ケア機)
グラハム専用ユニオンフラッグカスタム
ガンダムAGE-1
ファルシア
G-アルケイン(フルドレス)
マックナイフ(マスク機)
モンテーロ
ヘカテー
ガンダム・フラウロス
ガンダム・バルバトス
ガンダム・キマリストルーパー
アッガイ(ダリル搭乗)
ガンダム・エアリアル
ガンダム・ファラクト
ビルドストライクガンダム(フルパッケージ)
ガンダムX魔王
ザクアメイジング
ガンダムダブルオーダイバーエース
N-EXTREMEガンダム ザナドゥ
ガンキャノン
シャア専用ザクII
ザクII(ドアン機)
アッガイ
キュベレイMk-II(プルツー)
リ・ガズィ
ベルガ・ギロス
ガンイージ
アレックス
ザクII改
ケンプファー
ガンダムEz8
グフ・カスタム
ヅダ
ヒルドルブ
イフリート改
ライジングガンダム
カプル
バスターガンダム
デュエルガンダムアサルトシュラウド
ラゴゥ
ティエレンタオツー
アヘッド脳量子波対応型(スマルトロン)
G-ルシファー
N-EXTREMEガンダム スプレマシー
